ID,Internal_id,germinated,total,non_germinated,rate,Source_name,name,Parents_id,Amplification_round_starting,Admixture_internal,Admixture_as_database,Latitude,Longitude,iso_alpha,Temperature,Data_germination_filtered_for_viability,sequencer,short_name,Collector,Accession_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
9846,2021-0700,64,64,0,1,A. thaliana,IP-Ezc-2,2017-317,9.2021,Spain,spain,42.31,-3.02,ESP,20degree_LD,NA,Monsanto,Ezcaray,Carlos Alonso-Blanco,CS76849,7.9,10.3,3.8,570,23.7,-3,26.7,9.4,15.6,15.6,1.1,752,81,41,18,217,141,141,200
9849,2021-0455,59,59,0,1,A. thaliana,IP-Gud-3,2015-639,9.2021,Spain,admixed,40.65,-4.11,ESP,20degree_LD,NA,Monsanto,Guadarrama,Carlos Alonso-Blanco,CS76895,11.9,10.4,3.5,645.8,28.8,-0.3,29.1,7.8,20.4,20.6,4.1,452,53,14,32,144,63,66,117
9850,2021-0456,76,76,0,1,A. thaliana,IP-Hec-0,2015-640,9.2021,Spain,spain,42.86,-0.7,ESP,20degree_LD,NA,Monsanto,Hecho,Carlos Alonso-Blanco,CS76917,5.2,9,3.8,523.9,18.5,-5.1,23.6,-0.1,12.2,12.2,-1.1,1190,120,72,13,332,248,248,312
9851,2021-0703,87,87,0,1,A. thaliana,IP-Hue-3,2017-299,9.2021,Spain,western_europe,42.96,-6.1,ESP,20degree_LD,NA,Monsanto,Huergas de Babia,Carlos Alonso-Blanco,CS76942,7,10.3,4,528.9,22,-3.5,25.5,4,14.1,14.1,0.7,1000,125,45,28,342,161,161,305
9852,2021-0704,66,67,1,0.985074627,A. thaliana,IP-Ini-0,2017-318,9.2021,Spain,spain,40.46,-3.75,ESP,20degree_LD,NA,Monsanto,Madrid,Carlos Alonso-Blanco,CS76945,13.8,10.3,3.4,663.6,30.9,1.4,29.5,9.5,22.6,22.6,5.6,444,56,11,37,155,50,50,135
9853,2021-0443,82,82,0,1,A. thaliana,IP-Lac-0,2015-643,9.2021,Western Europe,western_europe,43.33,-5.91,ESP,20degree_LD,NA,Monsanto,Las Caldas,Carlos Alonso-Blanco,CS76996,11.1,9.7,4.3,440.7,23.8,1.3,22.5,8.8,16.8,16.9,5.8,877,117,43,27,297,152,160,234
9855,2021-0708,54,54,0,1,A. thaliana,IP-Lam-0,2017-319,9.2021,Spain,spain,40.57,-3.89,ESP,20degree_LD,NA,Monsanto,Las Matas,Carlos Alonso-Blanco,CS77008,12.5,10.3,3.5,651.9,29.3,0.3,29,8.3,21,21.2,4.5,457,54,13,33,151,60,61,127
9856,2021-0709,47,47,0,1,A. thaliana,IP-Lch-0,2017-320,9.2021,Spain,spain,40.51,-4,ESP,20degree_LD,NA,Monsanto,La Chaparrita,Carlos Alonso-Blanco,CS77010,11.9,10.4,3.5,645.8,28.8,-0.3,29.1,7.8,20.4,20.6,4.1,452,53,14,32,144,63,66,117
9857,2021-0710,90,90,0,1,A. thaliana,IP-Leg-0,2017-321,9.2021,Spain,spain,40.33,-3.8,ESP,20degree_LD,NA,Monsanto,Leganes,Carlos Alonso-Blanco,CS77019,14.1,10.6,3.5,670.6,31.6,1.4,30.2,9.7,23,23,5.8,433,53,10,37,149,48,48,130
9858,2021-0771,78,78,0,1,A. thaliana,IP-Loz-0,2015-679,9.2021,Central Europe,admixed,40.98,-3.8,ESP,20degree_LD,NA,Monsanto,Lozoya,Carlos Alonso-Blanco,CS77051,9.4,10.5,3.7,625.5,26.2,-2.1,28.3,7.6,17.9,17.9,2.2,558,65,20,28,169,84,92,144
9859,2021-0772,94,94,0,1,A. thaliana,IP-Lro-0,2016-464,9.2021,Spain,spain,40.5,-3.88,ESP,20degree_LD,NA,Monsanto,Las Rozas,Carlos Alonso-Blanco,CS77054,12.5,10.3,3.5,651.9,29.3,0.3,29,8.3,21,21.2,4.5,457,54,13,33,151,60,61,127
